"Portal","Keyword","Site Link","S.No","e-Published Date","Closing Date","Opening Date","Title","Tender Ref No","Tender ID","Organisation Chain","Organisation Chain (Detail)","Tender Reference Number","Withdrawal Allowed","Tender Type","Form Of Contract","General Technical Evaluation Allowed","ItemWise Technical Evaluation Allowed","Payment Mode","Is Multi Currency Allowed For BOQ","Is Multi Currency Allowed For Fee","Allow Two Stage Bidding","Tender Category","No. of Covers","Tender Fee (INR)","Fee Payable To","Fee Payable At","Tender Fee Exemption Allowed","EMD Amount (INR)","EMD through BG/ST or EMD Exemption Allowed","EMD Fee Type","EMD Percentage","EMD Payable To","EMD Payable At","Title (Detail)","Work Description","NDA/Pre Qualification","Independent External Monitor/Remarks","Tender Value (INR)","Effective Tender Value (INR)","Value Source","Value Status","Product Category","Sub category","Contract Type","Bid Validity(Days)","Period Of Work(Days)","Location","Pincode","Pre Bid Meeting Place","Pre Bid Meeting Address","Pre Bid Meeting Date","Bid Opening Place","Should Allow NDA Tender","Allow Preferential Bidder","Published Date","Bid Opening Date","Document Download / Sale Start Date","Document Download / Sale End Date","Clarification Start Date","Clarification End Date","Bid Submission Start Date","Bid Submission End Date","Name","Address","Tender Folder Path","NIT PDF Path","ZIP File Path","ZIP Extracted Folder Path","Downloaded Files"
"https://wbtenders.gov.in","cable","https://wbtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SDsFbDz2kDHSXdORfRpE5vg%3D%3D","1","18-May-2026 10:00 AM","28-May-2026 05:00 PM","02-Jun-2026 10:00 AM","Proposed UG Cable Conversion of 33kV Balurghat CKT-2, Mahipur and Salas feeders inside the 132kV Switchyard of Balurghat 132/33/11kV EHT Substation of WBSETCL under the maintenance jurisdiction of Balurghat Division, WBSEDCL.","DDRO/E-TENDER/E/ 2026-27/01, Dated - 12.05.2026.","2026_WBSED_1024040_1","WEST BENGAL STATE ELECTRICITY DISTRIBUTION CO. LTD||MALDA ZONE||DAKSHIN DINAJPUR REGIONAL OFFICE","WEST BENGAL STATE ELECTRICITY DISTRIBUTION CO. LTD||MALDA ZONE||DAKSHIN DINAJPUR REGIONAL OFFICE","DDRO/E-TENDER/E/ 2026-27/01, Dated - 12.05.2026.","Yes","Open Tender","Percentage","No","No","Online","No","No","No","Works","2","0.00","Nil","Nil","No","12,174","No","fixed","NA","Nil","Nil","Proposed UG Cable Conversion of 33kV Balurghat CKT-2, Mahipur and Salas feeders inside the 132kV Switchyard of Balurghat 132/33/11kV EHT Substation of WBSETCL under the maintenance jurisdiction of Balurghat Division, WBSEDCL.","Proposed UG Cable Conversion of 33kV Balurghat CKT-2, Mahipur and Salas feeders inside the 132kV Switchyard of Balurghat 132/33/11kV EHT Substation of WBSETCL under the maintenance jurisdiction of Balurghat Division, WBSEDCL.","Please refer Tender documents.","NA","6,08,659","608659","Tender Value","direct","CIVIL AND ELECTRICAL WORKS","NA","Tender","180","120","Mahinagar Sub-Station, Dist. - Dakshin Dinajpur.","733103","NA","NA","NA","Balurghat, Dist. - Dakshin Dinajpur.","No","No","18-May-2026 10:00 AM","02-Jun-2026 10:00 AM","18-May-2026 12:00 PM","28-May-2026 05:00 PM","NA","NA","18-May-2026 02:00 PM","28-May-2026 05:00 PM","S.E. AND R.M., DAKSHIN DINAJPUR REGIONAL OFFICE.","Office, of the Regional Manager, Dakshin Dinajpur, W.B.S.E.D.C.L., Regional Campus, Balurghat, W.B.S.E.D.C.L., P.O. - Beltala Park, P.S. - Balurghat, Besides S.P. Residence Campus, Balurghat, Dakshin Dinajpur - 733103.","C:\Users\muska_ak5dqij\OneDrive\Desktop\web scrap\downloads\2026_WBSED_1024040_1","","","C:\Users\muska_ak5dqij\OneDrive\Desktop\web scrap\downloads\2026_WBSED_1024040_1\2026_WBSED_1024040_1-ZIP",""
"https://wbtenders.gov.in","cable","https://wbtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Snt192uhMU8KoTLD8aNjjOQ%3D%3D","2","18-May-2026 09:00 AM","30-May-2026 03:00 PM","01-Jun-2026 03:00 PM","ONE TIME THOROUGH CLEANING OF BOILERS, CABLE TRAYS , MILL AREAS, AHP AREAS AND OTHER FIRE PRONE AREAS AT BOILER SIDE INCLUDING CABLE SPREADING ROOMS OF ALL 5 UNITS AT BKTPS.","WBPDCL/BKTPP/NIT/E4235/26-27","2026_WBPDC_1024532_1","THE WEST BENGAL POWER DEVELOPMENT CORPORATION LTD.||BAKRESWAR THERMAL POWER PROJECT (BkTPP)","THE WEST BENGAL POWER DEVELOPMENT CORPORATION LTD.||BAKRESWAR THERMAL POWER PROJECT (BkTPP)","WBPDCL/BKTPP/NIT/E4235/26-27","Yes","Limited","Item Rate","No","No","Online","No","No","No","Services","2","0.00","Nil","Nil","No","8,000","Yes","fixed","NA","Nil","Nil","ONE TIME THOROUGH CLEANING OF BOILERS, CABLE TRAYS , MILL AREAS, AHP AREAS AND OTHER FIRE PRONE AREAS AT BOILER SIDE INCLUDING CABLE SPREADING ROOMS OF ALL 5 UNITS AT BKTPS.","ONE TIME THOROUGH CLEANING OF BOILERS, CABLE TRAYS , MILL AREAS, AHP AREAS AND OTHER FIRE PRONE AREAS AT BOILER SIDE INCLUDING CABLE SPREADING ROOMS OF ALL 5 UNITS AT BKTPS.","Please refer Tender documents.","NA","NA","NA","Tender Value","direct","Miscellaneous Services","NA","Tender","180","90","Bakreswar Thermal Power Station","731104","NA","NA","NA","Bakreswar Thermal Power Station","No","No","18-May-2026 09:00 AM","01-Jun-2026 03:00 PM","18-May-2026 10:00 AM","30-May-2026 03:00 PM","NA","NA","18-May-2026 10:00 AM","30-May-2026 03:00 PM","GM-BKTPS","BAKRESWAR THERMAL POWER STATION P.O. - BkTPP, District - Birbhum Pin - 731104","C:\Users\muska_ak5dqij\OneDrive\Desktop\web scrap\downloads\2026_WBPDC_1024532_1","","C:\Users\muska_ak5dqij\OneDrive\Desktop\web scrap\downloads\2026_WBPDC_1024532_1\2026_WBPDC_1024532_1-ZIP.zip","C:\Users\muska_ak5dqij\OneDrive\Desktop\web scrap\downloads\2026_WBPDC_1024532_1\2026_WBPDC_1024532_1-ZIP","2026_WBPDC_1024532_1-ZIP.zip, 2026_WBPDC_1024532_1-ZIP"
"https://wbtenders.gov.in","cable","https://wbtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SxU%2BQU5OkJc45kab2v2yZBg%3D%3D","3","15-May-2026 02:00 PM","04-Jun-2026 02:00 PM","08-Jun-2026 12:00 PM","Shifting of chaklalpur OH Line by UG Cable by IOCL","HDD/WBSEDCL/2026-27/01/447","2026_WBSED_1024345_1","WEST BENGAL STATE ELECTRICITY DISTRIBUTION CO. LTD||MIDNAPORE ZONE||PURBA MEDINIPUR REGION||HALDIA DIVISION","WEST BENGAL STATE ELECTRICITY DISTRIBUTION CO. LTD||MIDNAPORE ZONE||PURBA MEDINIPUR REGION||HALDIA DIVISION","HDD/WBSEDCL/2026-27/01/447","Yes","Open Tender","Item Wise","No","No","Online","No","No","No","Services","2","0.00","Nil","Nil","No","14,231","No","percentage","2.0%","Nil","Nil","Shifting of chaklalpur OH Line by UG Cable by IOCL","Shifting of chaklalpur OH Line by UG Cable by IOCL","Please refer Tender documents.","NA","7,11,534","711534","Tender Value","direct","Miscellaneous Services","NA","Tender","120","NA","Shifting of chaklalpur OH Line by UG Cable by IOC","721602","HALDIA DIVISION","HALDIA DIVISION","25-May-2026 11:00 AM","HALDIA DIVISION","No","No","15-May-2026 02:00 PM","08-Jun-2026 12:00 PM","22-May-2026 11:00 AM","04-Jun-2026 02:00 PM","NA","NA","28-May-2026 02:00 PM","04-Jun-2026 02:00 PM","DIVISIONAL MANAGER HALDIA DIVISION","HALDIA DIVISION,WBSEDCL","C:\Users\muska_ak5dqij\OneDrive\Desktop\web scrap\downloads\2026_WBSED_1024345_1","","","",""
"https://wbtenders.gov.in","cable","https://wbtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdDsQXFJomWT9wb7kUWIaIQ%3D%3D","4","15-May-2026 09:00 AM","06-Jun-2026 05:00 PM","09-Jun-2026 10:30 AM","SERVICE CONTRACT FOR REPLACEMENT OF DAMAGED LA, EARTHING FLAT, WELDING RECEPTACLES, JBS, REMOVAL OF OLD/UNUSED LIGHT SETS, CONDUITS, CABLES, WELDING RECEPTACLES, JBS ETC. FROM THE ROOF-TOP OF COOLING TOWER-4 OF BKTPS","WBPDCL/BKTPP/NIT/E4184/26-27","2026_WBPDC_1023698_1","THE WEST BENGAL POWER DEVELOPMENT CORPORATION LTD.||BAKRESWAR THERMAL POWER PROJECT (BkTPP)","THE WEST BENGAL POWER DEVELOPMENT CORPORATION LTD.||BAKRESWAR THERMAL POWER PROJECT (BkTPP)","WBPDCL/BKTPP/NIT/E4184/26-27","Yes","Open Tender","Item Rate","No","No","Online","No","No","No","Services","3","0.00","Nil","Nil","No","4,119","Yes","fixed","NA","Nil","Nil","SERVICE CONTRACT FOR REPLACEMENT OF DAMAGED LA, EARTHING FLAT, WELDING RECEPTACLES, JBS, REMOVAL OF OLD/UNUSED LIGHT SETS, CONDUITS, CABLES, WELDING RECEPTACLES, JBS ETC. FROM THE ROOF-TOP OF COOLING TOWER-4 OF BKTPS","SERVICE CONTRACT FOR REPLACEMENT OF DAMAGED LA, EARTHING FLAT, WELDING RECEPTACLES, JBS, REMOVAL OF OLD/UNUSED LIGHT SETS, CONDUITS, CABLES, WELDING RECEPTACLES, JBS ETC. FROM THE ROOF-TOP OF COOLING TOWER-4 OF BKTPS","Please refer Tender documents.","NA","NA","NA","Tender Value","direct","Miscellaneous Services","NA","Tender","180","90","at Bakreswar Thermal Power Project","731104","Off Line- At the chamber of HOD -CC,BKTPS","Bakreswar Thermal Power Project P.O. - BkTPS, District - Birbhum Pin - 731104","22-May-2026 11:00 AM","At Contract Cell ,BKTPS","No","No","15-May-2026 09:00 AM","09-Jun-2026 10:30 AM","15-May-2026 09:00 AM","06-Jun-2026 05:00 PM","NA","NA","23-May-2026 11:00 AM","06-Jun-2026 05:00 PM","The General Manager,BKTPS","Bakreswar Thermal Power Project P.O. - BkTPS, District - Birbhum Pin - 731104","C:\Users\muska_ak5dqij\OneDrive\Desktop\web scrap\downloads\2026_WBPDC_1023698_1","C:\Users\muska_ak5dqij\OneDrive\Desktop\web scrap\downloads\2026_WBPDC_1023698_1\2026_WBPDC_1023698_1-NIT.pdf","","C:\Users\muska_ak5dqij\OneDrive\Desktop\web scrap\downloads\2026_WBPDC_1023698_1\2026_WBPDC_1023698_1-ZIP","2026_WBPDC_1023698_1-NIT.pdf"
"https://wbtenders.gov.in","cable","https://wbtenders.gov.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S8Ep5y6ZgKVbzb5vN9FbRmg%3D%3D","5","14-May-2026 12:00 PM","15-Jun-2026 03:00 PM","17-Jun-2026 03:30 PM","Service Contract for Different sizes cable laying and associated jobs at various areas under EMOPH department, SgTPP.","WBPDCL/SGTPP/NIT/E3987/26-27 dated 15-04-2026","2026_WBPDC_1024256_1","THE WEST BENGAL POWER DEVELOPMENT CORPORATION LTD.||SAGARDIGHI THERMAL POWER PROJECT (SgTPP)","THE WEST BENGAL POWER DEVELOPMENT CORPORATION LTD.||SAGARDIGHI THERMAL POWER PROJECT (SgTPP)","WBPDCL/SGTPP/NIT/E3987/26-27 dated 15-04-2026","Yes","Open Tender","Lump-sum","No","No","Online","No","No","No","Services","3","0.00","Nil","Nil","No","19,991","Yes","fixed","NA","Nil","Nil","Service Contract for Different sizes cable laying and associated jobs at various areas under EMOPH department, SgTPP.","Service Contract for Different sizes cable laying and associated jobs at various areas under EMOPH department, SgTPP.","Please refer Tender documents.","NA","9,99,539","999539","Tender Value","direct","Support/Maintenance Service","NA","Tender","120","365","Sagardighi Thermal Power Project.","742237","Administrative Building, SgTPP","Administrative Building, SgTPP, PO-Manigram, Dist- Murshidabad, Pin-742237","30-May-2026 11:00 AM","Administrative Building, SgTPP","No","No","14-May-2026 12:00 PM","17-Jun-2026 03:30 PM","23-May-2026 10:00 AM","15-Jun-2026 03:00 PM","NA","NA","23-May-2026 11:00 AM","15-Jun-2026 03:00 PM","The General Manager, SGTPP, WBPDCL","Administrative Building, SgTPP, PO-Manigram, Dist- Murshidabad, Pin-742237","C:\Users\muska_ak5dqij\OneDrive\Desktop\web scrap\downloads\2026_WBPDC_1024256_1","","","",""
